Rate ID,Utility,Name,Rate Type,Term,Price,Unit,TC Version,TC File,Most Popular,Regular Price,Discount %,Plan Name,Benefit 1,Benefit 2,Benefit 3,Benefit 4,Benefit 5,Carbon Better
773,FE:OE,FE:OEP05,First Month Variable Rate,One Month,0.04,kWh,773,0773.pdf,Yes,0.08,47%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Renewable Electricity,Yes
728,FE:OE,FE:OEFL01,Flat Rate,For the following 12 monthly billing cycles.,64.99,month,728,0728.pdf,No,,,Unlimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Renewable Electricity,Yes
774,FE:TE,FE:TEP05,First Month Variable Rate,One Month,0.04,kWh,774,0774.pdf,Yes,0.08,47%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Renewable Electricity,Yes
730,FE:TE,FE:TEFL01,Flat Rate,For the following 12 monthly billing cycles.,64.99,month,730,0730.pdf,No,,,Unlimited,One price for unlimited use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Renewable Electricity,Yes
403,MGU,Pool 05,First Month Variable Rate,One Month,0.345,Ccf,403,0403.pdf,Yes,5.61,39%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
624,MGU,Pool 06,Fixed Rate,For the following 12 monthly billing cycles ,0.479,Ccf,624,0624.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
722,PECO,PECO01,First Month Variable Rate,One Month,0.349,Ccf,722,0722.pdf,Yes,0.59,41%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
724,PECO,PECO03,Fixed Rate,For the following 12 monthly billing cycles.,0.449,Ccf,724,0724.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
713,PGW,PVM02VV01,First Month Variable Rate,1 Month,0.349,Ccf,713,0713.pdf,Yes,0.66,47%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
715,PGW,PVM02FF01,Fixed Rate,12 Months,0.449,Ccf,715,0715.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
504,SEMCO,19005,First Month Variable Rate,One Month,0.28,Therm,0504-2,0504-2.pdf,Yes,0.53,47%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
640,SEMCO,19006,Fixed Rate,For 12 Monthly Billing Cycles,0.479,Therm,640,0640.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
787,VEDO,K309,First Month Variable Rate,One Month,0.3,Ccf,787,0787.pdf,Yes,0.57,47%,Month-to-Month,Pay only for what you use,Rate changes monthly,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
783,VEDO,K306a,Fixed Rate,12,0.545,Ccf,783,0783.pdf,No,,,Annual,Pay only for what you use,Rate changes every 12 months,No Cancellation Fees,This Plan Plants Trees,100% Carbon Offset,Yes
