Zip Code,City/Township/Community,Municipal,County,State,Utility
17034,Highspire,,Dauphin,Pennsylvania,UGI
17035,Honey Grove,,Juniata,Pennsylvania,UGI
17036,Hummelstown,,Dauphin,Pennsylvania,UGI
17042,Lebanon,,Lebanon,Pennsylvania,UGI
17043,Lemoyne,,Cumberland,Pennsylvania,UGI
17044,Lewistown,,Mifflin,Pennsylvania,UGI
17046,Lebanon,,Lebanon,Pennsylvania,UGI
17048,Lykens,,Dauphin,Pennsylvania,UGI
17050,Mechanicsburg,,Cumberland,Pennsylvania,UGI
17051,McVeytown,,Mifflin,Pennsylvania,UGI
17052,Mapleton,,Huntingdon,Pennsylvania,UGI
17055,Mechanicsburg,,Cumberland,Pennsylvania,UGI
17057,Middletown,,Dauphin,Pennsylvania,UGI
17060,Mill Creek,,Huntingdon,Pennsylvania,UGI
17063,Milroy,,Mifflin,Pennsylvania,UGI
17065,Mount Holly Springs,,Cumberland,Pennsylvania,UGI
17066,Mount Union,,Huntingdon,Pennsylvania,UGI
17067,Myerstown,,Lebanon,Pennsylvania,UGI
17070,New Cumberland,,Cumberland,Pennsylvania,UGI
17072,New Kingstown,,Cumberland,Pennsylvania,UGI
17078,Palmyra,,Lebanon,Pennsylvania,UGI
17084,Reedsville,,Mifflin,Pennsylvania,UGI
17087,Richland,,Lebanon,Pennsylvania,UGI
17089,Camp Hill,,Cumberland,Pennsylvania,UGI
17093,Summerdale,,Cumberland,Pennsylvania,UGI
17099,Yeagertown,,Mifflin,Pennsylvania,UGI
17101,Harrisburg,,Dauphin,Pennsylvania,UGI
17102,Harrisburg,,Dauphin,Pennsylvania,UGI
17103,Harrisburg,,Dauphin,Pennsylvania,UGI
17104,Harrisburg,,Dauphin,Pennsylvania,UGI
17105,Harrisburg,,Dauphin,Pennsylvania,UGI
17106,Harrisburg,,Dauphin,Pennsylvania,UGI
17107,Harrisburg,,Dauphin,Pennsylvania,UGI
17108,Harrisburg,,Dauphin,Pennsylvania,UGI
17109,Harrisburg,,Dauphin,Pennsylvania,UGI
17110,Harrisburg,,Dauphin,Pennsylvania,UGI
17111,Harrisburg,,Dauphin,Pennsylvania,UGI
17112,Harrisburg,,Dauphin,Pennsylvania,UGI
17113,Harrisburg,,Dauphin,Pennsylvania,UGI
17120,Harrisburg,,Dauphin,Pennsylvania,UGI
17121,Harrisburg,,Dauphin,Pennsylvania,UGI
17122,Harrisburg,,Dauphin,Pennsylvania,UGI
17123,Harrisburg,,Dauphin,Pennsylvania,UGI
17124,Harrisburg,,Dauphin,Pennsylvania,UGI
17125,Harrisburg,,Dauphin,Pennsylvania,UGI
17126,Harrisburg,,Dauphin,Pennsylvania,UGI
17127,Harrisburg,,Dauphin,Pennsylvania,UGI
17128,Harrisburg,,Dauphin,Pennsylvania,UGI
17129,Harrisburg,,Dauphin,Pennsylvania,UGI
17130,Harrisburg,,Dauphin,Pennsylvania,UGI
17140,Harrisburg,,Dauphin,Pennsylvania,UGI
17177,Harrisburg,,Dauphin,Pennsylvania,UGI
